scientific_name,common_name
Byblis%20gigantea,NaN
Caladenia%20hastata,Mellblom's Spider Orchid
Carcharias%20taurus%20East%20coast%20of%20Australia%20subpopulation,Spotted Ragged-tooth Shark
Caretta%20caretta%20South%20Pacific%20subpopulation,Loggerhead Turtle
Cephaloscyllium%20albipinnum,Whitefin Swellshark
Cherax%20leckii,NaN
Cherax%20tenuimanus,Hairy Marron
Chlamydogobius%20micropterus,Elizabeth Springs Goby
Chlamydogobius%20squamigenus,Edgbaston Goby
Cophixalus%20concinnus,Beautiful Nursery-frog
Cornicandovia%20australica,Lord Howe Horn-headed Stick-insect
Corybas%20dienemus,Windswept Helmet Orchid
Ctenotus%20lancelini,Lancelin Island Skink
Ctenotus%20serotinus,Gravel-downs Ctenotus
Davidrentzia%20valida,Rentz's Strong Stick-insect
Dermochelys%20coriacea%20West%20Pacific%20Ocean%20subpopulation,Leatherback
Dipturus%20confusus,Longnose Skate
Diuris%20byronensis,Byron Bay Orchid
Dryococelus%20australis,Lord Howe Island Phasmid
Engaeus%20granulatus,Central North Burrowing Crayfish
Engaeus%20mallacoota,Mallacoota Burrowing Crayfish
Engaeus%20spinicaudatus,Scottsdale Burrowing Crayfish
Engaeus%20sternalis,Warragul Burrowing Crayfish
Engaewa%20pseudoreducta,Margaret River Burrowing Crayfish
Eretmochelys%20imbricata,Hawksbill Turtle
Euastacus%20bindal,NaN
Euastacus%20dalagarbe,NaN
Euastacus%20dharawalus,Fitzroy Falls Crayfish
Euastacus%20eungella,NaN
Euastacus%20gamilaroi,NaN
Euastacus%20girurmulayn,NaN
Euastacus%20guruhgi,NaN
Euastacus%20guwinus,NaN
Euastacus%20jagabar,NaN
Euastacus%20jagara,NaN
Euastacus%20maidae,NaN
Euastacus%20mirangudjin,Ochre-Bellied Crayfish
Euastacus%20monteithorum,NaN
Euastacus%20robertsi,NaN
Euastacus%20setosus,NaN
Euastacus%20yigara,NaN
Eucalyptus%20recurva,Mongarlowe Mallee
Fluvidona%20petterdi,NaN
Fregata%20andrewsi,Andrews' Frigatebird
Fregetta%20maoriana,New Zealand Storm Petrel
Galaxias%20fontanus,Swan Galaxias
Galaxias%20fuscus,Barred Galaxias
Galaxias%20johnstoni,Clarence Galaxias
Galaxias%20pedderensis,Pedder Galaxias
Geocrinia%20alba,White-bellied Frog
Glaucostegus%20typus,Giant Guitarfish
Glyphis%20garricki,New Guinea River Shark
Gymnobelideus%20leadbeateri,Leadbeater's Possum
Hemisaga%20elongata,NaN
Hemistomia%20whiteleggei,NaN
Hyridella%20glenelgensis,Glenelg Freshwater Mussel
Ixalodectes%20flectocercus,NaN
Jardinella%20colmani,NaN
Kennedia%20retrorsa,NaN
Lasiorhinus%20krefftii,Northern Hairy-nosed Wombat
Lathamus%20discolor,Swift Parrot
Leptopalaemon%20glabrus,NaN
Lerista%20allanae,Allan's Lerista
Lerista%20nevinae,Nevin's Slide
Lerista%20vittata,Mount Cooper Striped Lerista
Litoria%20booroolongensis,Booroolong Frog
Litoria%20castanea,Yellow-spotted Tree Frog
Litoria%20lorica,Armoured Frog
Litoria%20myola,Kuranda Tree Frog
Litoria%20nyakalensis,Mountain Mistfrog
Litoria%20piperata,Peppered Tree Frog
Litoria%20spenceri,Spencer’s River Tree Frog
Maccullochella%20peelii,Murray Cod
Millepora%20boschmai,NaN
Nanodectes%20bulbicercus,NaN
Neophema%20chrysogaster,Orange-bellied Parrot
Nothomyrmecia%20macrops,Australian Ant
Nyctophilus%20howensis,Lord Howe Long-eared Bat
Ombrastacoides%20denisoni,NaN
Ombrastacoides%20parvicaudatus,NaN
Pachysaga%20strobila,NaN
Pedionomus%20torquatus,Plains-wanderer
Pherosphaera%20fitzgeraldii,Dwarf Mountain Pine
Philoria%20frosti,Baw Baw Frog
Phyllurus%20kabikabi,NaN
Placostylus%20bivaricosus,NaN
Potorous%20gilbertii,Gilbert's Potoroo
Prasophyllum%20favonium,Western Leek Orchid
Pristis%20pristis,Largetooth Sawfish
Pristis%20pristis%20Indo-West%20Pacific%20subpopulation,Largetooth Sawfish
Pristis%20zijsron,Green Sawfish
Proablepharus%20barrylyoni,NaN
Pseudemydura%20umbrina,Western Short-necked Turtle
Pseudocheirus%20occidentalis,Western Ringtail Possum
Pseudococcus%20markharveyi,Banksia montana Mealybug
Pseudophryne%20corroboree,Corroboree Frog
Puffinus%20newelli,Newell's Shearwater
Rhina%20ancylostoma,Mud Skate
Rhynchobatus%20australiae,Bottlenose Wedgefish
Riekoperla%20darlingtoni,Mount Donna Buang Wingless Stonefly
Scaturiginichthys%20vermeilipinnis,Red-finned Blue-eye
Schayera%20baiulus,NaN
Sminthopsis%20fuliginosus%20ssp.%20aitkeni,Kangaroo Island Dunnart
Taudactylus%20acutirostris,Sharp Snouted Day Frog
Taudactylus%20eungellensis,Eungella Day Frog
Taudactylus%20pleione,Kroombit Tinker Frog
Taudactylus%20rheophilus,Northern Tinker Frog
Thunnus%20maccoyii,Southern Bluefin Tuna
Trioza%20barrettae,Barrett’s Plant-louse
Vandiemenia%20ratkowskiana,NaN
Varanus%20mitchelli,Mitchell's Water Monitor
Wollemia%20nobilis,Wollemi Pine
Zaglossus%20bruijnii,Western Long-beaked Echidna
Zyzomys%20palatalis,Carpentarian Rock-rat
Zyzomys%20pedunculatus,Macdonnell Range Rock-rat
