Record ID,Catalogue Number,Taxon Concept GUID,Scientific Name - original,Vernacular name - original,Scientific Name,Taxon Rank,Vernacular name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Data Resource ID,Data Resource Name,Institution ID,Institution,Collection ID,Collection,Licence,Institution Code,Collection Code,Locality,Geodetic datum - original,Latitude,Longitude,Coordinate Precision,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Local Government Areas 2011,IMCRA 4 Regions,IBRA 7 Regions,Minimum elevation in meters,Maximum elevation in meters,Minimum depth in meters,Maximum depth in meters,Individual count,Collector,Year,Month,Day,Event Date - parsed,Verbatim event date,Basis Of Record - original,Basis Of Record,Occurrence status,Sex,Preparations,Outlier for layer,Taxonomic Quality,Location Quality
ec3da401-2b88-4620-846f-7703589a33ca,OPP516718-2,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,43 (HA),WGS84,-35.85618,137.63844,,100,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,DOWIE D. Dave,2012,11,1,2012-11-01,"01/NOV/12, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
ebd5b71e-8be7-4cfd-9e84-8f5d0cbb80b9,AD 97739249,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. ssp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in41,"Department of Environment, Water and Natural Resources",co48,State Herbarium of South Australia,CC-BY 3.0 (Au),AD,AD,Flinders Chase,,-35.866667,136.7,,10000,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,Anon.,1925,11,29,1925-11-29,29-Nov-25,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
ea7e1231-cd34-42f2-a059-860ea46fa7e6,SUP6397-21,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,,WGS84,-35.851,138.03876,,250,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,OVERTON B.M. Bev | CANTY P.D. Peter | KINNEAR A.J. (Sandy),1989,11,17,1989-11-17,"17/NOV/89, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
ea5b425b-81c5-4285-81e5-d51f9beb87a3,SUP6465-4,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,Lathami (CP),WGS84,-35.62833,137.2365,,250,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,DENNIS T.E. Terry | CROFT T.S. Tim,1989,11,19,1989-11-19,"19/NOV/89, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
e90c098f-f8a0-462c-a53e-a789a4edf4ef,SUP6270-1,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,Flinders Chase (NP),WGS84,-35.99614,136.74546,,250,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,OVERTON B.M. Bev | BAXTER C.I. Chris | COPLEY P.B. Peter,1989,11,9,1989-11-09,"09/NOV/89, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
e896d322-5180-412d-b79a-2d3ef7c03fab,SUP14397-20,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,Lesueur (CP),WGS84,-35.86959,138.08015,,250,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,OVERTON B.M. Bev | CANTY P.D. Peter | KINNEAR A.J. (Sandy),1989,11,18,1989-11-18,"18/NOV/89, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
e8282a69-e34b-499d-97a6-af847281f361,OPP516732-2,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,43 (HA),WGS84,-35.85525,137.63952,,100,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,ADAMS B. Ben,2012,11,1,2012-11-01,"01/NOV/12, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
e7c869fb-348b-4aad-bbc5-8f805dc8352d,OPP516658-2,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,43 (HA),WGS84,-35.85727,137.62962,,100,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,ADAMS B. Ben,2012,11,1,2012-11-01,"01/NOV/12, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
e570bcf5-d62f-435e-a288-986f07d9301d,AD 98560660,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. ssp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in41,"Department of Environment, Water and Natural Resources",co48,State Herbarium of South Australia,CC-BY 3.0 (Au),AD,AD,American Beach,,-35.766667,137.883333,,10000,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"Burbidge, N.T.",1944,11,,1944-11-01,Nov-44,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
e4436f78-2597-4cca-ac58-976a05fe452f,AD 97739230,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. ssp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in41,"Department of Environment, Water and Natural Resources",co48,State Herbarium of South Australia,CC-BY 3.0 (Au),AD,AD,"De Couedic, Flinders Chase",AGD84,-36.06347057,136.7055758,,10000,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"Osborn, T.G.B.",1923,11,29,1923-11-29,29-Nov-23,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
