latitude,longitude,bright_ti4,acq_date,instrument
-35.73089,136.9937,297.9,43819,VIIRS
-35.72474,136.97098,326.5,43819,VIIRS
-35.77328,137.03996,312.8,43819,VIIRS
-35.72379,136.92308,299.4,43819,VIIRS
-35.72845,136.98466,321.7,43819,VIIRS
-35.72348,136.96634,308.2,43819,VIIRS
-35.70694,136.90535,309.9,43819,VIIRS
-35.72226,136.96181,311.8,43819,VIIRS
-35.70816,136.90985,302.1,43819,VIIRS
-35.73329,137.00256,297.1,43819,VIIRS
-35.71722,136.92104,352.3,43819,VIIRS
-35.74625,137.05052,306.8,43819,VIIRS
-35.73449,137.00702,308.1,43819,VIIRS
-35.751,137.06812,314.4,43819,VIIRS
-35.74743,137.05487,297.6,43819,VIIRS
-35.74982,137.06374,305.2,43819,VIIRS
-35.72892,136.96423,327.7,43819,VIIRS
-35.75283,137.05278,328.8,43819,VIIRS
-35.72266,136.9189,308,43819,VIIRS
-35.73388,136.98257,299.5,43819,VIIRS
-35.75165,137.04839,367,43819,VIIRS
-35.72771,136.95978,314.4,43819,VIIRS
-35.7137,136.90805,298.1,43819,VIIRS
-35.72653,136.95544,303.9,43819,VIIRS
-35.7393,136.98042,328.5,43819,VIIRS
-35.71916,136.90598,296.4,43819,VIIRS
-35.73319,136.95784,322.4,43819,VIIRS
-35.75523,137.06166,312.2,43819,VIIRS
-35.71793,136.90144,297.5,43819,VIIRS
-35.75706,137.0463,336.5,43819,VIIRS
-35.75825,137.05069,323.4,43819,VIIRS
-35.74412,136.99831,297.4,43819,VIIRS
-35.75943,137.05511,304.3,43819,VIIRS
-35.75914,136.9873,297.9,43819,VIIRS
-35.73472,136.91898,331.5,43819,VIIRS
-35.73439,136.96227,311.6,43819,VIIRS
-35.76249,137.04425,348.9,43819,VIIRS
-35.7447,136.97823,345.5,43819,VIIRS
-35.7618,137.06389,304.9,43819,VIIRS
-35.72699,136.91266,330.6,43819,VIIRS
-35.72461,136.90385,301.9,43819,VIIRS
-35.76718,137.06171,301,43819,VIIRS
-35.72814,136.9169,295.9,43819,VIIRS
-35.72581,136.90829,312.2,43819,VIIRS
-35.76601,137.05736,295.4,43819,VIIRS
-35.74593,136.98279,300.9,43819,VIIRS
-35.76366,137.0486,310.4,43819,VIIRS
-35.75797,136.98297,295.8,43819,VIIRS
-35.73587,136.92323,354.3,43819,VIIRS
-35.75014,136.97617,296.1,43819,VIIRS
-35.76788,137.0421,326.2,43819,VIIRS
-35.75491,136.99387,332.1,43819,VIIRS
-35.73243,136.91051,314.2,43819,VIIRS
-35.76905,137.04645,320.6,43819,VIIRS
-35.73126,136.90616,309.3,43819,VIIRS
-35.75137,136.98073,309.8,43819,VIIRS
-35.76031,136.99167,350.4,43819,VIIRS
-35.74017,136.91687,367,43819,VIIRS
-35.7714,137.05521,310.2,43819,VIIRS
-35.75679,136.97859,351.6,43819,VIIRS
-35.74132,136.92114,353.2,43819,VIIRS
-35.75558,136.97412,326.3,43819,VIIRS
-35.74796,136.92348,316.5,43819,VIIRS
-35.93774,137.01627,297.6,43819,VIIRS
-35.74562,136.91479,317,43819,VIIRS
-35.92409,137.03214,305.8,43819,VIIRS
-35.77986,137.04224,296.5,43819,VIIRS
-35.75224,136.91704,338.8,43819,VIIRS
-35.75342,136.92142,308.4,43819,VIIRS
-35.92823,137.02528,367,43819,VIIRS
-35.93588,137.03172,314.1,43819,VIIRS
-35.93054,137.03401,336.9,43819,VIIRS
-35.92937,137.02962,345.7,43819,VIIRS
-35.93472,137.02734,302.7,43819,VIIRS
-35.9317,137.03839,329.5,43819,VIIRS
-35.93355,137.02292,308.7,43819,VIIRS
-35.73096,136.98619,299.1,43819,VIIRS
-35.72975,136.9816,299.4,43819,VIIRS
-35.72612,136.96783,319.7,43819,VIIRS
-35.72489,136.96318,308.9,43819,VIIRS
-35.72261,136.95457,305.6,43819,VIIRS
-35.71404,137.01274,314.2,43819,VIIRS
-35.68687,137.02304,315.4,43819,VIIRS
