latitude,longitude,brightness,acq_date,instrument
-35.759,136.74,381,43830,MODIS
-35.761,136.722,361.2,43830,MODIS
-35.769,136.76,401.5,43830,MODIS
-35.795,136.728,389.8,43830,MODIS
-35.77,136.742,388.4,43830,MODIS
-35.772,136.724,367.2,43830,MODIS
-35.78,136.762,361.3,43830,MODIS
-35.767,136.777,349.7,43830,MODIS
-35.782,136.744,383.4,43830,MODIS
-35.783,136.726,357.8,43830,MODIS
-35.815,136.749,355.9,43830,MODIS
-35.791,136.764,363.7,43830,MODIS
-35.793,136.746,401.5,43830,MODIS
-35.806,136.729,374.4,43830,MODIS
-35.817,136.731,357.9,43830,MODIS
-35.802,136.765,364.3,43830,MODIS
-35.804,136.747,382.1,43830,MODIS
-35.815,136.736,361.9,43830,MODIS
-35.839,136.721,344.8,43830,MODIS
-35.841,136.703,318.9,43830,MODIS
-35.829,136.733,355.3,43830,MODIS
-35.83,136.715,352.7,43830,MODIS
-35.813,136.754,341.6,43830,MODIS
-35.826,136.737,361.3,43830,MODIS
-35.828,136.719,362,43830,MODIS
-35.83,136.701,338.4,43830,MODIS
-35.734,136.805,339.9,43830,MODIS
-35.818,136.795,305.6,43830,MODIS
-35.736,136.794,388.6,43830,MODIS
-35.749,136.772,316.2,43830,MODIS
-35.743,136.746,336.4,43830,MODIS
-35.717,136.789,373.1,43830,MODIS
-35.726,136.791,361.5,43830,MODIS
-35.728,136.779,330.8,43830,MODIS
-35.73,136.768,350,43830,MODIS
-35.719,136.777,352.4,43830,MODIS
-35.732,136.756,338.2,43830,MODIS
-35.715,136.801,336.2,43830,MODIS
-35.738,136.782,337.2,43830,MODIS
-35.724,136.803,368.6,43830,MODIS
-35.745,136.734,317.6,43830,MODIS
-35.739,136.77,311.1,43830,MODIS
-35.741,136.758,325.1,43830,MODIS
-35.756,136.725,322.2,43830,MODIS
-35.766,136.727,314.3,43830,MODIS
-35.767,136.715,300.8,43830,MODIS
-35.754,136.737,322.8,43830,MODIS
-35.745,136.796,341.2,43830,MODIS
-35.747,136.784,351.3,43830,MODIS
-35.767,136.776,310.5,43830,MODIS
-35.769,136.765,312.1,43830,MODIS
-35.828,136.736,303,43830,MODIS
-35.816,136.807,302.1,43830,MODIS
-35.727,136.78,330.3,43830,MODIS
-35.732,136.804,338.4,43830,MODIS
-35.745,136.8,317.2,43830,MODIS
-35.74,136.776,316.4,43830,MODIS
-35.74,136.794,323.8,43830,MODIS
-35.719,136.809,318.8,43830,MODIS
-35.837,136.706,352.8,43831,MODIS
-35.838,136.717,352.6,43831,MODIS
-35.84,136.729,391.3,43831,MODIS
-35.748,136.79,399.9,43831,MODIS
-35.831,136.731,379.1,43831,MODIS
-35.809,136.77,340,43831,MODIS
-35.825,136.755,403.7,43831,MODIS
-35.814,136.803,363.7,43831,MODIS
-35.816,136.814,329.6,43831,MODIS
-35.758,136.731,335.3,43831,MODIS
-35.718,136.774,343.4,43831,MODIS
-35.75,136.801,395.4,43831,MODIS
-35.759,136.799,382.1,43831,MODIS
-35.75,136.744,344.9,43831,MODIS
-35.755,136.777,334.8,43831,MODIS
-35.734,136.759,369.3,43831,MODIS
-35.743,136.757,344.8,43831,MODIS
-35.746,136.779,359.5,43831,MODIS
-35.719,136.785,359,43831,MODIS
-35.741,136.746,356.2,43831,MODIS
-35.739,136.792,389.4,43831,MODIS
-35.73,136.794,348.8,43831,MODIS
-35.721,136.796,351.5,43831,MODIS
-35.732,136.805,400.6,43831,MODIS
-35.727,136.772,362.6,43831,MODIS
-35.723,136.807,369.7,43831,MODIS
-35.724,136.818,327.5,43831,MODIS
-35.725,136.761,352.5,43831,MODIS
-35.737,136.781,345.5,43831,MODIS
-35.733,136.816,335.7,43831,MODIS
-35.741,136.803,379.8,43831,MODIS
-35.757,136.788,392.4,43831,MODIS
-35.765,136.717,327.9,43831,MODIS
-35.767,136.729,339,43831,MODIS
-35.824,136.744,377,43831,MODIS
-35.796,136.729,344.5,43831,MODIS
-35.773,136.791,346.7,43831,MODIS
-35.776,136.775,390.3,43831,MODIS
-35.759,136.805,388.3,43831,MODIS
-35.763,136.788,406.3,43831,MODIS
-35.766,136.772,372.8,43831,MODIS
-35.736,136.741,361.7,43831,MODIS
-35.74,136.73,445,43831,MODIS
-35.743,136.714,439,43831,MODIS
-35.733,136.757,334.6,43831,MODIS
-35.746,136.698,356.8,43831,MODIS
-35.719,136.777,335.9,43831,MODIS
-35.733,136.763,336.7,43831,MODIS
-35.737,136.747,363.1,43831,MODIS
-35.747,136.75,352.1,43831,MODIS
-35.775,136.723,363.3,43831,MODIS
-35.724,136.812,328.7,43831,MODIS
-35.753,136.717,493.2,43831,MODIS
-35.764,136.72,369.2,43831,MODIS
-35.778,136.707,391.1,43831,MODIS
-35.767,136.704,326.9,43831,MODIS
-35.761,136.737,328.9,43831,MODIS
-35.749,136.802,338.3,43831,MODIS
-35.752,136.785,363.9,43831,MODIS
-35.801,136.764,334.8,43831,MODIS
-35.822,136.771,350.8,43831,MODIS
-35.825,136.755,378.2,43831,MODIS
-35.828,136.739,354,43831,MODIS
-35.834,136.73,352,43831,MODIS
-35.827,136.762,390.5,43831,MODIS
-35.831,136.746,375.8,43831,MODIS
-35.844,136.733,336,43831,MODIS
-35.838,136.765,334.3,43831,MODIS
-35.739,136.724,411.5,43831,MODIS
-35.742,136.708,378.9,43831,MODIS
-35.741,136.782,348.6,43831,MODIS
-35.755,136.769,340.8,43831,MODIS
-35.724,136.806,327,43831,MODIS
-35.75,136.734,420.7,43831,MODIS
-35.757,136.701,477.4,43831,MODIS
-35.85,136.765,318.1,43831,MODIS
-35.852,136.72,363,43831,MODIS
-35.863,136.76,305.2,43831,MODIS
-35.728,136.75,322.6,43831,MODIS
-35.866,136.715,328.8,43831,MODIS
-35.846,136.76,327.4,43831,MODIS
-35.849,136.715,348.6,43831,MODIS
-35.845,136.741,306.7,43831,MODIS
-35.844,136.734,309,43831,MODIS
-35.759,136.692,310.4,43831,MODIS
-35.761,136.705,305.5,43831,MODIS
-35.779,136.778,304.6,43831,MODIS
-35.851,136.726,316.9,43831,MODIS
-35.76,136.801,308.7,43831,MODIS
-35.754,136.828,323.4,43831,MODIS
-35.758,136.789,305,43831,MODIS
-35.752,136.816,321.9,43831,MODIS
-35.71,136.798,308.8,43831,MODIS
-35.719,136.784,325.8,43831,MODIS
-35.709,136.785,316.3,43831,MODIS
-35.763,136.826,339.7,43831,MODIS
-35.853,136.739,311.7,43831,MODIS
